Movie_Name;Director;Year;Jump_Count;Jump_Scare__Rating;Imdb;MPAA_Rating;Genre;Month;Budget;Worldwide_Gross;Netflix__(US);Duration;jump_IMDB_coef;jump_duration_ratio
10 Cloverfield Lane;Dan Trachtenberg;2016;8;2.5;7.2;PG-13;Drama, Horror, Mystery;March;15000000.0;110216998.0;No;104;57.6;0.07692307692307693
28 Days Later;Danny Boyle;2003;10;3.0;7.6;R;Drama, Horror, Sci-Fi;June;8000000.0;85720385.0;No;113;76.0;0.08849557522123894
28 Weeks Later;Juan Carlos Fresnadillo;2007;17;3.5;7.0;R;Drama, Horror, Sci-Fi;May;15000000.0;64238440.0;No;100;119.0;0.17
30 Days of Night;David Slade;2007;9;2.5;6.6;R;Action, Horror, Thriller;October;30000000.0;75505977.0;No;113;59.4;0.07964601769911504
31;Rob Zombie;2016;8;2.5;5.1;R;Horror, Thriller;September;1500000.0;850419.0;No;102;40.8;0.0784313725490196
47 Meters Down;Johannes Roberts;2017;11;3.0;5.6;PG-13;Adventure, Drama, Horror;June;5300000.0;62187529.0;Yes;89;61.599999999999994;0.12359550561797752
1408;Mikael Håfström;2007;8;3.0;6.8;PG-13;Fantasy, Horror, Mystery;June;25000000.0;132033383.0;No;114;54.4;0.07017543859649122
1922;Zak Hilditch;2017;2;1.0;6.3;TV-MA;Crime, Drama, Horror;October;;;Yes;102;12.6;0.0196078431372549
A Cure for Wellness;Gore Verbinski;2016;6;1.5;6.4;R;Drama, Fantasy, Horror;February;40000000.0;26620002.0;No;146;38.400000000000006;0.0410958904109589
A Ghost Story;David Lowery;2017;3;1.0;6.8;R;Drama, Fantasy, Romance;July;100000.0;1951683.0;No;92;20.4;0.03260869565217391
A Girl Walks Home Alone at Night;Ana Lily Amirpour;2014;0;0.0;7.0;NR;Drama, Horror;April;491910.0;546352.0;No;101;0.0;0.0
A Nightmare on Elm Street;Wes Craven;1984;11;2.5;7.5;R;Horror;November;1800000.0;25504513.0;No;101;82.5;0.10891089108910891
A Nightmare on Elm Street;Samuel Bayer;2010;15;3.0;5.2;R;Crime, Drama, Horror;April;35000000.0;115664037.0;No;95;78.0;0.15789473684210525
A Nightmare on Elm Street 2: Freddy's Revenge;Jack Sholder;1985;8;2.0;5.5;R;Horror;November;3000000.0;29999213.0;No;87;44.0;0.09195402298850575
A Nightmare on Elm Street 3: Dream Warriors;Chuck Russell;1987;11;2.5;6.6;R;Fantasy, Horror;February;4500000.0;44793222.0;No;88;72.6;0.125
A Quiet Place;John Krasinski;2018;14;4.0;7.5;PG-13;Drama, Horror, Sci-Fi;April;17000000.0;340939361.0;No;90;105.0;0.15555555555555556
A Tale of Two Sisters;Jee-woon Kim;2003;14;3.0;7.2;R;Drama, Horror, Thriller;June;3700000.0;1045252.0;No;115;100.8;0.12173913043478261
Absentia;Mike Flanagan;2011;8;2.0;5.8;R;Drama, Horror, Mystery;April;70000.0;8555.0;No;87;46.4;0.09195402298850575
Alien;Ridley Scott;1979;11;2.5;8.4;R;Horror, Sci-Fi;June;11000000.0;106497869.0;No;116;92.4;0.09482758620689655
Alien: Covenant;Ridley Scott;2017;6;2.0;6.4;R;Horror, Sci-Fi, Thriller;May;97000000.0;240891763.0;No;122;38.400000000000006;0.04918032786885246
Alien 3;David Fincher;1992;12;2.5;6.5;R;Action, Horror, Sci-Fi;May;50000000.0;159814498.0;No;145;78.0;0.08275862068965517
Alien: Resurrection;Jean-Pierre Jeunet;1997;9;3.0;6.2;R;Action, Horror, Sci-Fi;November;75000000.0;161376068.0;No;116;55.800000000000004;0.07758620689655173
Aliens;James Cameron;1986;13;3.0;8.4;R;Action, Adventure, Sci-Fi;July;18500000.0;131335326.0;No;154;109.2;0.08441558441558442
Alone;Banjong Pisanthanakun, Parkpoom Wongpoom;2007;21;4.5;6.8;NR;Drama, Horror, Thriller;March;;9559978.0;No;105;142.79999999999998;0.2
Altered States;Ken Russell;1980;2;0.5;6.9;R;Horror, Sci-Fi, Thriller;December;14900000.0;19853892.0;No;102;13.8;0.0196078431372549
Amityville: The Awakening;Franck Khalfoun;2017;11;3.0;4.8;PG-13;Horror, Thriller;October;;7701908.0;No;85;52.8;0.12941176470588237
Amnesiac;Michael Polish;2015;1;0.5;4.3;TV-MA;Drama, Horror, Mystery;November;3000000.0;61192.0;No;90;4.3;0.011111111111111112
An American Werewolf in London;James Landis;1981;14;3.0;7.5;R;Comedy, Horror;August;10000000.0;30565292.0;No;97;105.0;0.14432989690721648
An American Werewolf in Paris;Anthony Waller;1997;11;2.5;5.1;R;Comedy, Fantasy, Horror;December;25000000.0;26570463.0;No;105;56.099999999999994;0.10476190476190476
Anaconda;Luis Llosa;1997;9;2.0;4.8;PG-13;Action, Adventure, Horror;April;45000000.0;136885767.0;No;89;43.199999999999996;0.10112359550561797
Anna;Jorge Dorado;2013;5;1.0;6.5;R;Drama, Mystery, Sci-Fi;January;7000000.0;1257142.0;No;99;32.5;0.050505050505050504
Annabelle;John R. Leonetti;2014;11;3.5;5.4;R;Horror, Mystery, Thriller;October;6500000.0;257047661.0;No;99;59.400000000000006;0.1111111111111111
Annabelle Comes Home;Gary Dauberman;2019;20;4.0;6.0;R;Horror, Mystery, Thriller;June;27000000.0;228552591.0;No;106;120.0;0.18867924528301888
Annabelle: Creation;David F. Sandberg;2017;23;4.5;6.5;R;Horror, Mystery, Thriller;August;15000000.0;306515884.0;No;109;149.5;0.21100917431192662
Annihilation;Alex Garland;2018;4;1.5;6.9;R;Adventure, Drama, Horror;February;40000000.0;43070915.0;Yes;115;27.6;0.034782608695652174
Apollo 18;Gonzalo López-Gallego;2011;10;3.0;5.2;PG-13;Horror, Mystery, Sci-Fi;September;5000000.0;25562924.0;No;86;52.0;0.11627906976744186
Apostle;Gareth Evans;2018;5;1.5;6.3;TV-MA;Drama, Fantasy, Horror;October;;;Yes;130;31.5;0.038461538461538464
Army of Darkness;Sam Raimi;1992;9;2.0;7.5;R;Comedy, Horror;February;11000000.0;11502976.0;No;81;67.5;0.1111111111111111
Arrival;Denis Villeneuve;2016;3;0.5;7.9;PG-13;Drama, Mystery, Sci-Fi;November;47000000.0;203388186.0;No;116;23.700000000000003;0.02586206896551724
As Above, So Below;John Erick Dowdle;2014;7;3.0;6.2;R;Horror, Mystery, Thriller;August;5000000.0;41898409.0;Yes;93;43.4;0.07526881720430108
Attack the Block;Joe Cornish;2011;12;3.0;6.6;R;Action, Comedy, Sci-Fi;May;13000000.0;5824175.0;No;88;79.19999999999999;0.13636363636363635
Audition;Takashi Miike;1999;1;0.5;7.2;R;Drama, Horror, Mystery;March;;359853.0;No;115;7.2;0.008695652173913044
Backcountry;Adam MacDonald;2014;4;0.5;6.0;R;Drama, Horror, Thriller;March;1200000.0;13848.0;Yes;92;24.0;0.043478260869565216
Backtrack;Michael Petroni;2015;14;3.5;5.9;R;Drama, Fantasy, Mystery;January;;905669.0;No;90;82.60000000000001;0.15555555555555556
Banshee Chapter;Blair Erickson;2013;22;5.0;5.5;R;Horror, Sci-Fi, Thriller;December;950000.0;;No;87;121.0;0.25287356321839083
Before I Wake;Mike Flanagan;2016;9;3.0;6.2;PG-13;Drama, Fantasy, Horror;January;;3965086.0;Yes;97;55.800000000000004;0.09278350515463918
Berberian Sound Studio;Peter Strickland;2012;0;0.0;6.2;NR;Drama, Horror, Thriller;August;;312757.0;No;92;0.0;0.0
Berlin Syndrome;Cate Shortland;2017;1;0.5;6.3;R;Drama, Horror, Mystery;May;;397783.0;No;116;6.3;0.008620689655172414
Better Watch Out;Chris Peckover;2016;11;2.5;6.5;R;Comedy, Crime, Horror;October;;176288.0;No;89;71.5;0.12359550561797752
Bird Box;Susanne Bier;2018;4;0.5;6.6;R;Drama, Horror, Sci-Fi;December;19800000.0;;Yes;124;26.4;0.03225806451612903
Black Christmas;Bob Clark;1974;4;1.5;7.2;R;Horror, Mystery, Thriller;December;620000.0;4053000.0;No;98;28.8;0.04081632653061224
Black Swan;Darren Aronofsky;2010;10;3.0;8.0;R;Drama, Thriller;December;13000000.0;329398046.0;No;108;80.0;0.09259259259259259
Blade;Stephen Norrington;1998;1;1.0;7.1;R;Action, Horror, Sci-Fi;August;45000000.0;131183530.0;No;120;7.1;0.008333333333333333
Blair Witch;Adam Wingard;2016;18;4.0;5.0;R;Horror, Mystery, Thriller;September;5000000.0;45173154.0;No;89;90.0;0.20224719101123595
Bone Tomahawk;S. Craig Zahler;2015;0;0.0;7.1;NR;Drama, Horror, Western;February;1800000.0;382579.0;No;132;0.0;0.0
Bram Stoker's Dracula;Francis Ford Coppola;1992;1;0.5;7.4;R;Horror;November;40000000.0;215862692.0;No;128;7.4;0.0078125
Bride of Chucky;Ronny Yu;1998;11;2.0;5.4;R;Comedy, Horror;October;25000000.0;50688658.0;No;89;59.400000000000006;0.12359550561797752
Cabin Fever;Eli Roth;2002;10;2.5;5.6;R;Horror;September;1500000.0;30553394.0;No;88;56.0;0.11363636363636363
Cam;Daniel Goldhaber;2018;1;0.5;5.9;TV-MA;Horror, Mystery, Thriller;November;1000000.0;;Yes;94;5.9;0.010638297872340425
Candyman;Bernard Rose;1992;16;4.0;6.6;R;Horror, Thriller;October;6000000.0;25792310.0;No;99;105.6;0.16161616161616163
Cape Fear;Martin Scorsese;1991;4;1.5;7.3;R;Crime, Thriller;November;35000000.0;182291969.0;No;128;29.2;0.03125
Cargo;Ben Howling, Yolanda Ramke;2017;2;0.5;6.3;TV-MA;Drama, Horror, Sci-Fi;May;;56385.0;Yes;93;12.6;0.021505376344086023
Carrie;Brian De Palma;1976;1;0.5;7.4;R;Horror;November;1800000.0;33800000.0;No;98;7.4;0.01020408163265306
Carrie;Kimberly Peirce;2013;4;1.0;5.9;R;Drama, Horror;October;30000000.0;84790678.0;No;100;23.6;0.04
Case 39;Christian Alvart;2009;9;2.0;6.2;R;Horror, Mystery, Thriller;October;26000000.0;28189979.0;No;109;55.800000000000004;0.08256880733944955
Cat People;Jacques Tourneur;1942;2;1.0;7.4;NR;Fantasy, Horror, Thriller;December;134000.0;8000000.0;No;73;14.8;0.0273972602739726
Cell;Tod Williams;2016;5;2.0;4.3;R;Action, Drama, Horror;June;;1323012.0;No;98;21.5;0.05102040816326531
Chernobyl Diaries;Bradley Parker;2012;16;3.5;5.0;R;Horror, Mystery, Thriller;May;1000000.0;37157648.0;Yes;86;80.0;0.18604651162790697
Children of the Corn;Fritz Kiersch;1984;8;3.0;5.7;R;Horror, Thriller;March;800000.0;14568989.0;No;88;45.6;0.09090909090909091
Child's Play;Tom Holland;1988;8;2.5;6.6;R;Horror, Thriller;November;9000000.0;44196684.0;No;87;52.8;0.09195402298850575
Child’s Play;Lars Klevberg;2019;6;3.0;5.9;R;Horror;June;10000000.0;44902237.0;No;90;35.400000000000006;0.06666666666666667
Cloverfield;Matt Reeves;2008;7;2.0;7.0;PG-13;Horror, Sci-Fi, Thriller;January;25000000.0;170764026.0;No;85;49.0;0.08235294117647059
Clown;Jon Watts;2014;11;3.0;5.7;R;Drama, Fantasy, Horror;June;1500000.0;4381603.0;No;100;62.7;0.11
Cooties;Jonathan Milott, Cary Murnion;2014;15;3.0;5.7;R;Action, Comedy, Horror;September;;485544.0;No;88;85.5;0.17045454545454544
Creep;Patrick Brice;2014;10;3.0;6.3;R;Horror, Thriller;June;;;Yes;78;63.0;0.1282051282051282
Creep 2;Patrick Brice;2017;6;2.0;6.4;NR;Horror, Thriller;October;;;Yes;80;38.400000000000006;0.075
Crimson Peak;Guillermo del Toro;2015;9;2.5;6.5;R;Drama, Fantasy, Horror;October;55000000.0;74679822.0;No;119;58.5;0.07563025210084033
Cube;Vincenzo Natali;1997;1;0.5;7.2;R;Drama, Mystery, Sci-Fi;July;365000.0;565727.0;No;90;7.2;0.011111111111111112
Cujo;Lewis Teague;1983;4;1.0;6.1;R;Horror, Thriller;August;5000000.0;21156152.0;No;93;24.4;0.043010752688172046
Cult of Chucky;Don Mancini;2017;14;3.5;5.2;R;Comedy, Fantasy, Horror;October;;;Yes;91;72.8;0.15384615384615385
Cyberbully;Ben Chanan;2015;1;1.0;6.8;PG-13;Crime, Drama, Mystery;January;;;No;62;6.8;0.016129032258064516
Dark Shadows;Tim Burton;2012;2;0.5;6.2;PG-13;Comedy, Fantasy, Horror;May;150000000.0;245527149.0;No;113;12.4;0.017699115044247787
Dark Skies;Scott Stewart;2013;11;2.5;6.3;PG-13;Horror, Sci-Fi, Thriller;February;3500000.0;26421747.0;No;97;69.3;0.1134020618556701
Dark Was The Night;Jack Heller;2014;16;3.0;5.6;NR;Drama, Horror, Thriller;July;;;No;99;89.6;0.16161616161616163
Dark Water;Walter Salles;2005;7;2.0;5.6;PG-13;Drama, Horror, Fantasy;July;30000000.0;68357079.0;No;105;39.199999999999996;0.06666666666666667
Dawn of the Dead;Zack Synder;2004;10;2.0;7.3;NR;Action, Horror;March;26000000.0;102278712.0;No;110;73.0;0.09090909090909091
Day of the Dead;George A. Romero;1985;10;3.0;7.1;NR;Horror, Thriller;July;3500000.0;5000000.0;No;96;71.0;0.10416666666666667
Dead Alive;Peter Jackson;1992;3;1.0;7.5;NR;Comedy, Horror;February;3000000.0;242623.0;No;97;22.5;0.030927835051546393
Dead Calm;Phillip Noyce;1989;2;1.0;6.8;R;Horror, Thriller;April;10400000.0;7825009.0;No;96;13.6;0.020833333333333332
Dead End;Jean-Baptiste Andrea, Fabrice Canepa;2003;9;2.5;6.6;R;Adventure, Horror, Mystery;November;;900000.0;No;85;59.4;0.10588235294117647
Dead Silence;James Wan;2007;15;4.0;6.2;NR;Horror, Mystery, Thriller;March;20000000.0;22217407.0;No;92;93.0;0.16304347826086957
Death Note;Adam Wingard;2017;6;1.5;4.6;TV-MA;Adventure, Crime, Drama;August;;;Yes;101;27.599999999999998;0.0594059405940594
Deathgasm;Jason Lei Howden;2015;7;2.0;6.3;NR;Action, Comedy, Horror;October;;;No;86;44.1;0.08139534883720931
Deep Blue Sea;Renny Harlin;1999;10;2.5;5.8;R;Action, Adventure, Sci-Fi;July;60000000.0;164648142.0;No;105;58.0;0.09523809523809523
Deep Red;Dario Argento;1975;7;1.5;7.7;R;Horror, Mystery, Thriller;June;;;No;126;53.9;0.05555555555555555
Deliver Us From Evil;Scott Derrickson;2014;16;4.0;6.2;R;Horror, Mystery, Thriller;July;30000000.0;87937815.0;No;118;99.2;0.13559322033898305
Dementia;Mike Testin;2015;0;0.0;5.0;NR;Drama, Horror, Thriller;December;;;No;90;0.0;0.0
Demonic;Will Canon;2015;17;4.0;5.3;R;Horror, Thriller;October;3000000.0;3387774.0;Yes;83;90.1;0.20481927710843373
Devil;John Erick Dowdle;2010;4;1.5;6.2;PG-13;Horror, Mystery, Thriller;September;10000000.0;62695489.0;No;80;24.8;0.05
Devil's Due;Matt Bettinelli-Olpin, Tyler Gillett;2014;13;3.0;4.1;R;Horror, Mystery, Thriller;January;7000000.0;36921560.0;No;89;53.3;0.14606741573033707
Devil's Pass;Renny Harlin;2013;10;2.5;5.7;R;Horror, Mystery, Thriller;February;;5217347.0;No;100;57.0;0.1
Dismissed;Benjamin Arfmann;2017;0;0.0;5.8;NR;Drama, Horror, Thriller;January;;;No;87;0.0;0.0
Disturbia;D.J. Caruso;2007;13;3.0;6.8;PG-13;Crime, Drama, Mystery;April;20000000.0;117760134.0;No;105;88.39999999999999;0.12380952380952381
Dog Soldiers;Neil Marshall;2002;13;3.0;6.8;R;Action, Horror, Thriller;May;2000000.0;3530620.0;No;105;88.39999999999999;0.12380952380952381
Donnie Darko;Richard Kelly;2001;3;1.0;8.0;R;Drama, Sci-Fi, Thriller;January;6000000.0;4269636.0;No;133;24.0;0.022556390977443608
Don't Be Afraid of the Dark;Troy Nixey;2010;8;3.0;5.5;R;Fantasy, Horror, Thriller;August;25000000.0;36993168.0;No;99;44.0;0.08080808080808081
Don't Breathe;Fede Alvarez;2016;17;3.5;7.1;R;Crime, Horror, Thriller;August;9900000.0;157100845.0;No;88;120.69999999999999;0.19318181818181818
Don't Knock Twice;Caradog W. James;2016;19;3.5;5.1;R;Horror;February;;2081591.0;No;93;96.89999999999999;0.20430107526881722
Doom;Andrzej Bartkowiak;2005;15;3.5;5.2;R;Action, Adventure, Fantasy;October;60000000.0;55987321.0;Yes;113;78.0;0.13274336283185842
Dracula Untold;Gary Shore;2014;4;1.0;6.3;PG-13;Action, Drama, Fantasy;October;70000000.0;217124280.0;No;92;25.2;0.043478260869565216
Drag Me To Hell;Sam Raimi;2009;23;4.5;6.5;PG-13;Horror, Thriller;May;30000000.0;90842646.0;No;99;149.5;0.23232323232323232
Dreamcatcher;Lawrence Kasdan;2003;11;3.0;5.5;R;Drama, Horror, Sci-Fi;March;68000000.0;81240406.0;No;136;60.5;0.08088235294117647
Eden Lake;James Watkins;2008;3;1.0;6.8;R;Horror, Thriller;September;;3984669.0;No;91;20.4;0.03296703296703297
Eli;Ciarán Foy;2019;13;3.5;5.9;R;Horror;October;;;Yes;98;76.7;0.1326530612244898
Elle;Paul Verhoeven;2016;7;2.0;7.1;R;Crime, Drama, Thriller;November;9000000.0;12748594.0;No;130;49.699999999999996;0.05384615384615385
Emelie;Michael Thelin;2015;3;0.5;5.4;NR;Horror, Thriller;March;;6147.0;Yes;82;16.200000000000003;0.036585365853658534
Escape Room;Adam Robitel;2019;4;1.5;6.3;PG-13;Action, Adventure, Horror;January;9000000.0;155712077.0;No;103;25.2;0.038834951456310676
Europa Report;Sebastián Cordero;2013;1;0.5;6.4;PG-13;Drama, Mystery, Sci-Fi;June;;125687.0;No;90;6.4;0.011111111111111112
Event Horizon;Paul W.S. Anderson;1997;11;3.0;6.7;R;Horror, Sci-Fi, Thriller;August;60000000.0;26673242.0;No;130;73.7;0.08461538461538462
Evil Dead;Fede Alvarez;2013;20;4.0;6.5;R;Fantasy, Horror, Thriller;April;17000000.0;97542952.0;No;96;130.0;0.20833333333333334
Evil Dead II;Sam Raimi;1987;27;4.0;7.8;R;Comedy, Horror;March;3600000.0;5923044.0;No;84;210.6;0.32142857142857145
Exorcist: The Beginning;Renny Harlin;2004;17;4.0;5.1;R;Horror, Mystery, Thriller;August;80000000.0;76899937.0;No;125;86.69999999999999;0.136
Extinction;Miguel Ángel Vivas;2015;12;3.0;5.8;R;Drama, Horror, Sci-Fi;July;7000000.0;2350695.0;No;113;69.6;0.10619469026548672
Extraterrestrial;Colin Minihan;2014;30;4.5;5.0;NR;Horror, Mystery, Sci-Fi;October;3000000.0;71103.0;No;101;150.0;0.297029702970297
Fear Clinic;Robert Hall;2014;13;3.0;5.0;R;Horror;July;1000000.0;106974.0;No;95;65.0;0.1368421052631579
Final Destination;James Wong;2000;4;2.0;6.7;R;Horror, Thriller;March;23000000.0;112880294.0;Yes;98;26.8;0.04081632653061224
Final Destination 2;David R. Ellis;2003;3;1.0;6.2;R;Horror, Thriller;January;26000000.0;90342474.0;Yes;90;18.6;0.03333333333333333
Final Destination 3;James Wong;2006;5;1.0;5.8;R;Horror, Thriller;February;25000000.0;117719158.0;Yes;86;29.0;0.05813953488372093
Final Destination 5;Steven Quale;2011;5;1.5;5.8;R;Horror, Thriller;August;40000000.0;157887643.0;No;92;29.0;0.05434782608695652
Flatliners;Joel Schumacher;1990;7;2.0;6.6;R;Drama, Horror, Sci-Fi;August;26000000.0;61489265.0;Yes;115;46.199999999999996;0.06086956521739131
Flatliners;Niels Arden Oplev;2017;20;4.0;5.0;PG-13;Drama, Horror, Mystery;September;19000000.0;45158254.0;No;109;100.0;0.1834862385321101
Frailty;Bill Paxton;2001;0;0.0;7.2;R;Crime, Drama, Thriller;April;11000000.0;17423030.0;No;100;0.0;0.0
Freddy vs. Jason;Ronny Yu;2003;24;4.0;5.7;R;Action, Horror;August;30000000.0;114908830.0;No;97;136.8;0.24742268041237114
Friday the 13th;Sean S. Cunningham;1980;10;3.0;6.5;R;Horror, Mystery, Thriller;May;550000.0;39754601.0;No;95;65.0;0.10526315789473684
Friday the 13th;Marcus Nispel;2009;23;4.0;5.6;R;Horror, Mystery, Thriller;February;19000000.0;91379051.0;No;97;128.79999999999998;0.23711340206185566
