Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,4.5,NR,"Horror, Mystery, Thriller",October,,,Yes,87,,,,,,,
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,5.7,R,"Horror, Mystery",October,"$17,000,000","$125,586,134",Yes,99,,,,,,,
Identity,James Mangold,2003,11,2.5,7.3,R,"Mystery, Thriller",April,"$28,000,000","$90,259,536",No,91,,,,,,,
Idle Hands,Rodman Flender,1999,10,3,6.2,R,"Comedy, Fantasy, Horror",April,"$25,000,000","$4,152,230",No,92,,,,,,,
In The Mouth Of Madness,John Carpenter,1994,10,3,7.2,R,"Drama, Horror, Mystery",February,"$8,000,000","$8,924,549",No,95,,,,,,,
In the Tall Grass,Vincenzo Natali,2019,4,1,5.7,TV-MA,"Drama, Horror, Thriller",October,,,Yes,90,,,,,,,
Incarnate,Brad Peyton,2016,9,2.5,5.2,PG-13,"Horror, Thriller",December,"$5,000,000","$6,341,855",No,91,,,,,,,
Inland Empire,David Lynch,2006,8,2.5,6.9,R,"Drama, Mystery, Thriller",February,,"$4,044,781",No,180,,,,,,,
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1,6.8,NC-17,Horror,June,"$3,000,000","$792,184",No,82,,French,France,,,,
Insidious,James Wan,2010,24,5,6.8,PG-13,"Horror, Mystery, Thriller",April,"$1,500,000","$97,009,150",No,103,,,,,,,
Insidious: Chapter 2,James Wan,2013,22,4,6.6,PG-13,"Horror, Mystery, Thriller",September,"$5,000,000","$161,919,318",No,106,,,,,,,
Insidious: Chapter 3,Leigh Whannell,2015,15,4,6.1,PG-13,"Horror, Mystery, Thriller",June,"$10,000,000","$112,983,889",No,97,,,,,,,
Insidious: The Last Key,Adam Robitel,2018,15,4,5.7,PG-13,"Horror, Mystery, Thriller",January,"$10,000,000","$167,885,588",No,103,,,,,,,
Interview With the Vampire,Neil Jordan,1994,6,2,7.6,R,"Drama, Horror",November,"$60,000,000","$223,664,608",No,123,,,,,,,
Intruders,Adam Schindler,2015,4,1,5.4,R,"Drama, Horror, Thriller",January,,,No,86,,,,,,,
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1,7.4,PG,"Horror, Sci-Fi",December,"$3,500,000","$24,946,533",No,115,,,,,,,
It,Andy Muschietti,2017,23,4,7.4,R,Horror,September,"$35,000,000","$700,449,318",No,135,,,,,,,
It Chapter Two,Andy Muschietti,2019,24,4,7,R,"Drama, Fantasy, Horror",September,"$79,000,000","$459,245,680",No,169,,,,,,,
It Comes at Night,Trey Edward Shults,2017,5,1.5,6.2,R,"Horror, Mystery",June,"$5,000,000","$19,280,931",No,91,,,,,,,
It Follows,David Robert Mitchell,2014,5,2,6.8,R,"Horror, Mystery, Thriller",March,"$1,000,000","$21,528,593",No,100,,,,,,,
Jacob's Ladder,Adrian Lyne,1990,4,1,7.5,R,"Drama, Horror, Mystery",November,"$25,000,000","$26,118,851",No,113,,,,,,,
Jaws,Steven Spielberg,1975,4,2.5,8,PG,"Adventure, Drama, Thriller",June,"$7,000,000","$471,203,004",No,130,,,,,,,
Jeepers Creepers,Victor Salva,2001,11,3.5,6.2,R,"Horror, Mystery",August,"$10,000,000","$59,371,303",No,90,,,,,,,
Jennifer's Body,Karyn Kusama,2009,6,2,5.2,R,"Comedy, Horror",September,"$16,000,000","$31,556,061",No,107,,,,,,,
Jessabelle,Kevin Greutert,2014,9,2,5.4,PG-13,"Horror, Thriller",November,,"$6,998,359",No,90,,,,,,,
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2,5.8,R,"Horror, Mystery, Thriller",October,"$10,000,000","$102,952,888",No,91,,,,,,,
Joy Ride,John Dahl,2001,2,0.5,6.6,R,"Mystery, Thriller",October,"$23,000,000","$36,642,838",No,97,,,,,,,
Julia's Eyes,Guillem Morales,2010,7,2,6.7,NR,"Horror, Mystery, Thriller",October,"$5,000,000","$12,884,923",No,117,,,,,,,
Jurassic Park,Steven Spielberg,1993,9,2.5,8.1,PG-13,"Action, Adventure, Sci-Fi",June,"$63,000,000","$1,030,314,141",No,127,,,,,,,
Jurassic World,Colin Trevorrow,2015,5,2,7,PG-13,"Action, Adventure, Sci-Fi",June,"$150,000,000","$1,670,400,637",No,124,,,,,,,
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2,6.2,PG-13,"Action, Adventure, Sci-Fi",June,"$170,000,000","$1,308,467,944",No,128,,,,,,,
Kill List,Ben Wheatley,2011,1,0.5,6.4,NR,"Crime, Drama, Horror",September,"$500,000","$171,760",No,95,,English,UK,,,,
Knock Knock,Eli Roth,2015,2,0.5,4.9,R,"Drama, Thriller",October,"$2,500,000","$5,567,103",No,99,,,,,,,
Krampus,Michael Dougherty,2015,10,2,6.1,PG-13,"Comedy, Drama, Fantasy",December,"$15,000,000","$61,548,707",No,98,,,,,,,
Lake Mungo,Joel Anderson,2008,1,0.5,6.2,R,"Drama, Horror, Mystery",January,"$1,400,000","$8,128",No,87,,English,Australia,,,,
Lake Placid,Steve Miner,1999,11,2.5,5.7,R,"Action, Comedy, Horror",July,"$35,000,000","$56,870,414",No,82,,,,,,,
Last Shift,Anthony DiBlasi,2014,17,4,5.8,R,"Horror, Mystery, Thriller",October,,,No,88,,,,,,,
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3,5,R,"Crime, Horror, Thriller",October,,"$1,476,843",No,90,,,,,,,
Let Me In,Matt Reeves,2010,3,0.5,7.1,R,"Drama, Fantasy, Horror",October,"$20,000,000","$24,145,613",No,116,,,,,,,
Let The Right One In,Tomas Alfredson,2008,2,0.5,7.9,R,"Drama, Horror, Romance",December,"$4,000,000","$11,227,336",No,115,,,,,,,
Let Us Prey,Brian O’Malley,2014,7,3,5.7,NR,"Horror, Thriller",June,,,No,92,,,,,,,
Life,Daniel Espinosa,2017,8,2,6.6,R,"Horror, Sci-Fi, Thriller",March,"$58,000,000","$100,541,806",No,104,,,,,,,
Lights Out,David F. Sandberg,2016,19,4.5,6.3,PG-13,"Drama, Horror, Mystery",July,"$4,900,000","$148,868,835",No,81,,,,,,,
Little Evil,Eli Craig,2017,7,1.5,5.7,TV-MA,"Comedy, Horror",September,,,Yes,95,,,,,,,
Ma,Tate Taylor,2019,3,1,5.7,R,"Horror, Thriller",May,"$5,000,000","$60,582,764",No,99,,,,,,,
Maggie,Henry Hobson,2015,4,0.5,5.6,PG-13,"Drama, Horror",May,,"$1,663,165",No,95,,,,,,,
Malevolent,Olaf de Fleur Johannesson,2018,8,3,4.7,TV-MA,Horror,October,,,Yes,89,,,,,,,
Malice,Harold Becker,1993,3,1,6.4,R,"Crime, Mystery, Thriller",October,"$20,000,000","$46,405,336",No,107,,,,,,,
Mama,Andrés Muschietti,2013,13,3.5,6.2,PG-13,"Horror, Thriller",January,"$15,000,000","$146,428,180",No,100,,,,,,,
Mandy,Panos Cosmatos,2018,5,1.5,6.6,R,"Action, Fantasy, Horror",September,"$6,000,000","$1,524,880",No,121,,,,,,,
Marrowbone,Sergio G. Sánchez,2017,5,2.5,6.6,R,"Drama, Horror, Mystery",April,"$8,000,000","$12,294,931",No,110,,,,,,,
Martyrs,Pascal Laugier,2008,15,3,7.1,R,Horror,September,"$6,500,000","$1,149,138",No,99,,,,,,,
May,Lucky McKee,2002,0,0,6.6,R,"Drama, Horror",April,"$500,000","$264,349",No,93,,,,,,,
Mayhem,Joe Lynch,2017,2,0.5,6.3,NR,"Action, Comedy, Horror",November,,,No,86,,,,,,,
Megan Is Missing,Michael Goi,2011,1,0.5,4.7,NR,"Drama, Horror, Thriller",May,,,No,85,,,,,,,
Midsommar,Ari Aster,2019,3,1,7.4,R,"Drama, Horror, Mystery",July,"$10,000,000","$41,123,770",No,147,,,,,,,
Mirrors,Alexandre Aja,2008,15,4,6.1,R,"Horror, Mystery",August,"$35,000,000","$77,488,607",No,110,,,,,,,
Misery,Rob Reiner,1990,3,0.5,7.8,R,"Drama, Thriller",November,"$20,000,000","$61,276,872",No,107,,,,,,,
Mom and Dad,Brian Taylor,2017,5,1.5,5.5,R,"Comedy, Horror, Thriller",March,"$7,000,000","$165,962",No,83,,,,,,,
Morgan,Luke Scott,2016,3,0.5,5.8,R,"Action, Horror, Sci-Fi",September,"$8,000,000","$8,809,407",No,92,,,,,,,
Mother!,Darren Aronofsky,2017,7,2,6.6,R,"Drama, Horror, Mystery",September,"$30,000,000","$44,516,999",No,121,,,,,,,
Mulholland Drive,David Lynch,2001,1,1,7.9,R,"Drama, Mystery, Thriller",October,"$15,000,000","$20,129,557",No,147,,,,,,,
My Bloody Valentine,George Mihalka,1981,11,2.5,6.2,R,"Horror, Mystery, Thriller",February,"$2,300,000","$5,672,031",No,93,,,Canada,,,,
My Friend Dahmer,Marc Meyers,2017,0,0,6.2,R,"Biography, Drama",March,,"$1,436,751",No,107,,,,,,,
Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,6.5,PG-13,"Adventure, Crime, Drama",July,"$19,000,000","$85,251,425",No,96,,,,,,,
Nocturnal Animals,Tom Ford,2016,1,1,7.5,R,"Drama, Thriller",December,"$22,500,000","$30,311,857",No,116,,,,,,,
Noroi: The Curse,Kôji Shiraishi,2005,4,1,7,NR,"Horror, Mystery, Thriller",August,"$2,000,000","$6,819",No,115,,,,,,,
Oculus,Mike Flanagan,2013,14,3.5,6.5,R,"Horror, Mystery",April,"$5,000,000","$44,043,910",No,104,,,,,,,
Odd Thomas,Stephen Sommers,2013,10,3,6.8,PG-13,"Comedy, Fantasy, Horror",February,"$27,000,000","$1,149,267",No,97,,,,,,,
One Hour Photo,Mark Romanek,2002,1,0.5,6.8,R,"Drama, Thriller",September,"$12,000,000","$52,223,306",No,96,,,,,,,
One Missed Call,Eric Valette,2008,15,3.5,4,PG-13,"Horror, Mystery",January,"$20,000,000","$45,847,751",No,87,,,,,,,
Only Lovers Left Alive,Jim Jarmusch,2013,0,0,7.3,R,"Comedy, Drama, Fantasy",December,"$7,000,000","$7,609,187",No,123,,,,,,,
Orphan,Jaume Collet-Serra,2009,12,3,6.9,R,"Horror, Mystery, Thriller",July,"$20,000,000","$76,699,632",No,123,,,,,,,
Ouija,Stiles White,2014,16,4,4.5,PG-13,"Horror, Mystery, Thriller",October,"$5,000,000","$103,687,316",No,89,,,,,,,
Ouija: Origin of Evil,Mike Flanagan,2016,18,4,6.1,PG-13,"Drama, Horror, Mystery",October,"$9,000,000","$81,705,746",No,99,,,,,,,
Overlord,Julius Avery,2018,12,2.5,6.7,R,"Action, Adventure, Horror",November,"$38,000,000","$41,657,844",No,110,,,,,,,
P2,Franck Khalfoun,2007,16,4,5.9,R,"Crime, Horror, Thriller",November,"$8,000,000","$7,766,240",No,98,,,,,,,
Pandorum,Christian Alvart,2009,13,4,6.7,R,"Action, Horror, Mystery",September,"$33,000,000","$20,645,327",Yes,108,,,,,,,
Pan's Labyrinth,Guillermo del Toro,2006,6,1.5,8.2,R,"Drama, Fantasy, War",January,"$19,000,000","$83,258,226",No,119,,,,,,,
Paranormal Activity,Oren Peli,2007,10,3.5,6.3,R,"Horror, Mystery, Thriller",October,"$15,000","$193,355,800",No,86,,,,,,,
Paranormal Activity 2,Tod Williams,2010,14,3.5,5.6,NR,Horror,October,"$3,000,000","$177,512,032",No,98,,,,,,,
Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011,20,4,5.8,NR,"Horror, Mystery, Thriller",October,"$5,000,000","$207,039,844",No,94,,,,,,,
Paranormal Activity 4,"Henry Joost, Ariel Schulman",2012,21,4,4.6,NR,"Horror, Mystery, Thriller",October,"$5,000,000","$142,802,657",No,96,,,,,,,
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,4,4.6,NR,"Horror, Mystery, Thriller",October,"$10,000,000","$78,903,124",No,97,,,,,,,
Patient Zero,Stefan Ruzowitzky,2018,6,1.5,4.4,R,"Action, Drama, Horror",August,,,No,93,,,,,,,
Pay The Ghost,Uli Edel,2015,13,3,5.2,NR,"Drama, Horror, Mystery",September,,"$2,914,020",No,94,,,,,,,
Personal Shopper,Olivier Assayas,2016,4,0.5,6.1,R,"Drama, Horror, Mystery",March,"$6,000,000","$2,840,408",No,105,,,,,,,
Pet,Carles Torrens,2016,2,1,5.7,R,"Horror, Thriller",December,,"$22,003",No,94,,,,,,,
Pet Sematary,Mary Lambert,1989,13,3.5,6.6,R,"Horror, Thriller",April,"$11,500,000","$57,469,467",No,103,,,,,,,
Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019,14,3.5,6.6,R,"Horror, Mystery, Thriller",April,"$21,000,000","$112,399,944",No,101,,,,,,,
Planet Terror,Robert Rodriguez,2007,14,2.5,7.1,NR,"Action, Comedy, Horror",June,,"$10,872,186",No,105,,,,,,,
Poltergeist,Tobe Hooper,1982,9,1,7.3,PG,"Horror, Thriller",June,"$10,700,000","$121,700,000",Yes,114,,,,,,,
Poltergeist,Gil Kenan,2015,21,4,5,PG-13,"Horror, Thriller",May,"$35,000,000","$95,437,994",No,93,,,,,,,
Pontypool,Bruce McDonald,2008,1,0.5,6.6,NR,"Fantasy, Horror, Thriller",September,"$1,500,000","$32,118",No,96,,,,,,,
Predator,John McTiernan,1987,7,2,7.8,R,"Action, Adventure, Sci-Fi",June,"$15,000,000","$98,399,056",No,107,,,,,,,
Prevenge,Alice Lowe,2016,0,0.5,5.9,TV-MA,"Comedy, Drama, Fantasy",March,"$80,000","$103,885",No,88,,,,,,,
Pride and Prejudice and Zombies,Burr Steers,2016,7,2,5.8,PG-13,"Action, Comedy, Fantasy",February,"$28,000,000","$16,405,171",No,108,,,,,,,
Prince of Darkness,John Carpenter,1987,7,2.5,6.7,R,Horror,October,"$3,000,000","$14,182,492",No,102,,,,,,,
Prometheus,Ridley Scott,2012,7,1.5,7,R,"Adventure, Mystery, Sci-Fi",June,"$130,000,000","$403,354,469",No,124,,,,,,,
Psycho,Alfred Hitchcock,1960,2,0.5,8.5,R,"Horror, Mystery, Thriller",September,"$806,947","$32,000,000",No,109,,,,,,,
Quarantine,John Erick Dowdle,2008,14,3.5,6,R,"Horror, Thriller",October,"$12,000,000","$41,319,906",No,89,,,,,,,
Ravenous,Antonia Bird,1999,4,1,7,R,"Adventure, Comedy, Horror",March,"$12,000,000","$2,062,405",No,101,,,,,,,
Raw,Julia Ducournau,2016,3,1,7,R,"Drama, Horror",March,"$3,500,000","$3,096,815",Yes,99,,,,,,,
Re-Animator,Stuart Gordon,1985,4,1,7.2,NR,"Comedy, Horror, Sci-Fi",October,"$900,000","$2,023,414",No,104,,,,,,,
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,7.4,R,"Action, Horror, Mystery",November,"$1,500,000","$32,492,948",No,79,,,,,,,
Red Dragon,Brett Ratner,2002,6,2,7.2,R,"Crime, Drama, Thriller",October,"$78,000,000","$209,196,298",No,124,,,,,,,
Regression,Alejandro Amenábar,2015,3,1,5.7,R,"Crime, Horror, Mystery",October,"$15,000,000","$17,671,101",No,106,,,,,,,
Repulsion,Roman Polanski,1965,7,2.5,7.7,NR,"Drama, Horror, Thriller",October,"$300,000","$33,174",No,105,,,,,,,
Resident Evil,Paul W.S. Anderson,2002,7,2.5,6.7,R,"Action, Horror, Sci-Fi",March,"$33,000,000","$102,984,862",No,100,,,,,,,
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,4.5,5.5,R,"Action, Horror, Sci-Fi",January,"$40,000,000","$312,242,626",No,107,,,,,,,
Resolution,"Justin Benson, Aaron Moorhead",2012,2,0.5,6.3,NR,"Horror, Mystery, Thriller",January,,,No,93,,,,,,,
Restoration,Zack Ward,2016,10,3,4,NR,Horror,May,,,No,92,,,,,,,
Ring (Ringu),Hideo Nakata,1998,5,2,7.3,NR,"Horror, Mystery",January,"$1,200,000","$59,001",No,96,,,,,,,
Rings,F. Javier Gutiérrez,2017,19,3.5,4.5,PG-13,"Drama, Horror, Mystery",February,"$25,000,000","$83,080,890",No,102,,,,,,,
Rosemary's Baby,Roman Polanski,1968,0,0,8,R,"Drama, Horror",October,"$3,200,000","$33,400,000",No,136,,,,,,,
Saw,James Wan,2004,5,2,7.6,NR,"Horror, Mystery, Thriller",October,"$1,200,000","$103,911,669",No,103,,,,,,,
Saw II,Darren Lynn Bousman,2005,5,1,6.6,NR,"Horror, Mystery",October,"$4,000,000","$147,748,505",No,94,,,,,,,
Saw III,Darren Lynn Bousman,2006,5,1.5,6.2,NR,"Horror, Mystery, Thriller",October,"$10,000,000","$164,874,275",No,113,,,,,,,
Saw IV,Darren Lynn Bousman,2007,6,1.5,5.9,NR,"Horror, Mystery, Thriller",October,"$10,000,000","$139,352,633",No,96,,,,,,,
Saw V,David Hackl,2008,5,1,5.8,NR,"Horror, Mystery, Thriller",October,"$10,800,000","$113,864,059",No,95,,,,,,,
Saw VI,Kevin Greutert,2009,2,0.5,6,NR,"Horror, Mystery, Thriller",October,"$11,000,000","$68,233,629",No,92,,,,,,,
Scary Movie,Keenen Ivory Wayans,2000,8,1.5,6.2,R,Comedy,July,"$19,000,000","$278,019,771",No,88,,,,,,,
Scary Movie 2,Keenen Ivory Wayans,2001,8,1.5,5.3,R,Comedy,July,"$45,000,000","$141,220,678",Yes,83,,,,,,,
Scream,Wes Craven,1996,19,3.5,7.2,R,"Horror, Mystery",December,"$14,000,000","$173,046,663",No,111,,,,,,,
Scream 2,Wes Craven,1997,19,4,6.2,R,"Horror, Mystery",December,"$24,000,000","$172,363,301",No,120,,,,,,,
Scream 3,Wes Craven,2000,23,4,5.5,R,"Horror, Mystery",February,"$40,000,000","$161,834,276",No,116,,,,,,,
Scream 4,Wes Craven,2011,18,3.5,6.1,R,"Horror, Mystery",April,"$40,000,000","$97,231,420",Yes,111,,,,,,,
Searching,Aneesh Chaganty,2018,0,0,7.7,PG-13,"Drama, Mystery, Thriller",August,"$880,000","$75,462,037",No,102,,,,,,,
Secret Window,David Koepp,2004,10,2,6.6,PG-13,"Drama, Mystery, Thriller",March,"$40,000,000","$92,913,171",No,96,,,,,,,
Session 9,Brad Anderson,2001,0,0,6.4,R,"Horror, Mystery",September,"$1,500,000","$1,612,259",No,97,,,,,,,
Seven,David Fincher,1995,1,0.5,8.6,R,"Crime, Drama, Mystery",September,"$33,000,000","$327,311,859",No,127,,,,,,,
Shaun of the Dead,Edgar Wright,2004,13,2.5,7.9,R,"Comedy, Horror",September,"$4,000,000","$30,039,392",No,99,,,,,,,
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,4,7.1,NR,"Horror, Mystery, Thriller",September,,"$6,989,456",Yes,97,,,,,,,
Shutter Island,Martin Scorsese,2010,9,2,8.1,R,"Mystery, Thriller",February,"$80,000,000","$294,804,195",No,138,,,,,,,
Signs,M. Night Shyamalan,2002,8,2,6.7,PG-13,"Drama, Mystery, Sci-Fi",August,"$72,000,000","$408,247,917",No,106,,,,,,,
Silent Hill,Christophe Gans,2006,7,1.5,6.5,R,Horror,April,"$50,000,000","$97,607,453",No,125,,,,,,,
Silent Hill: Revelation,Michael J. Bassett,2012,22,4,5,R,Horror,October,"$20,000,000","$52,302,796",No,95,,,,,,,
Silver Bullet,Dan Attias,1985,15,3,6.4,R,Horror,October,"$7,000,000","$12,361,866",No,95,,,,,,,
Sinister,Scott Derrickson,2012,17,5,6.8,R,"Horror, Mystery, Thriller",October,"$3,000,000","$77,712,439",No,110,,,,,,,
Sinister 2,Ciarán Foy,2015,19,4,5.3,R,"Horror, Mystery, Thriller",August,"$10,000,000","$52,882,018",No,97,,,,,,,
Sleepaway Camp,Robert Hiltzik,1983,6,1.5,6.3,R,Horror,November,"$350,000","$11,000,000",No,85,,,,,,,
Sleepy Hollow,Tim Burton,1999,1,0.5,7.3,R,"Fantasy, Horror, Mystery",November,"$100,000,000","$206,071,502",No,105,,,,,,,
Slender Man,Sylvain White,2018,15,3.5,3.2,PG-13,"Horror, Mystery, Thriller",August,"$10,000,000","$51,738,549",No,93,,,,,,,
Slither,James Gunn,2006,10,3,6.4,R,"Comedy, Horror, Sci-Fi",March,"$15,000,000","$12,834,936",No,95,,,,,,,
Slumber,Jonathan Hopkins,2017,12,3,4.6,R,Horror,December,,"$1,243,832",No,84,,,,,,,
Species,Roger Donaldson,1995,7,3,5.8,R,"Action, Horror, Sci-Fi",July,"$35,000,000","$113,374,103",No,108,,,,,,,
Sphere,Barry Levinson,1998,4,1,6.1,PG-13,"Drama, Horror, Mystery",February,"$80,000,000","$37,020,277",No,134,,,,,,,
Splinter,Toby Wilkins,2008,10,3,6.1,R,"Horror, Sci-Fi, Thriller",April,,"$491,070",No,82,,,,,,,
Split,M. Night Shyamalan,2016,3,0.5,7.3,PG-13,"Horror, Thriller",January,"$9,000,000","$278,454,358",No,117,,,,,,,
Spring,"Justin Benson, Aaron Moorhead",2014,1,0.5,6.7,NR,"Horror, Romance, Sci-Fi",March,,"$49,970",No,109,,,,,,,
Stake Land,Jim Mickle,2010,1,0.5,6.5,R,"Drama, Horror, Sci-Fi",June,"$650,000","$405,380",No,98,,,,,,,
Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014,9,2,6,NR,"Drama, Fantasy, Horror",November,,"$10,220",No,98,,,,,,,
Stephanie,Akiva Goldsman,2017,18,3,5.8,R,"Horror, Mystery",April,,,Yes,86,,,,,,,
Stir of Echoes,David Koepp,1999,9,3,7,R,"Horror, Mystery, Thriller",September,"$12,000,000","$21,142,914",No,99,,,,,,,
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,4,6.7,NR,"Drama, Horror, Mystery",August,,"$42,027",No,105,,,,,,,
Sunshine,Danny Boyle,2007,6,1.5,7.2,R,"Sci-Fi, Thriller",July,"$26,000,000","$32,017,803",No,107,,,,,,,
Super 8,J.J. Abrams,2011,15,3.5,7,PG-13,"Mystery, Sci-Fi, Thriller",June,"$50,000,000","$260,095,986",No,112,,,,,,,
Suspiria,Dario Argento,1977,6,1.5,7.4,R,Horror,August,,"$21,248",No,98,,,,,,,
Suspiria,Luca Guadagnino,2018,2,0.5,7.1,R,"Fantasy, Horror, Mystery",November,"$20,000,000","$7,942,093",No,152,,,,,,,
Tales of Halloween,Various Directors,2015,14,3,5.5,R,"Comedy, Horror",October,,"$416,792",Yes,92,,,,,,,
Terrifier,Damien Leone,2017,18,3.5,5.6,NR,"Horror, Thriller",March,"$100,000",,Yes,82,,,,,,,
Texas Chainsaw 3D,John Luessenhop,2013,14,3,4.8,R,"Horror, Thriller",January,"$20,000,000","$47,241,945",No,92,,,,,,,
The 9th Life of Louis Drax,Alexandre Aja,2016,4,1,6.3,R,"Mystery, Thriller",September,,"$584,723",No,108,,,,,,,
The Abandoned,Eytan Rockaway,2015,21,3.5,5,NR,"Horror, Mystery, Thriller",June,"$850,000",,No,87,,,,,,,
The ABCs of Death,Various Directors,2012,0,0,4.7,NR,"Comedy, Horror",April,,"$23,589",No,129,,,,,,,
The Abyss,James Cameron,1989,2,0.5,7.6,PG-13,"Adventure, Drama, Mystery",August,"$70,000,000","$90,000,098",No,140,,,,,,,
The Amityville Horror,Stuart Rosenberg,1979,8,2.5,6,R,Horror,July,"$4,700,000","$86,432,000",No,117,,,,,,,
The Amityville Horror,Andrew Douglas,2005,16,4,6,R,Horror,April,"$19,000,000","$107,516,369",No,90,,,,,,,
The Atticus Institute,Chris Sparling,2015,13,3.5,5.5,NR,Horror,January,"$1,000,000","$32,521",No,83,,,,,,,
The Autopsy of Jane Doe,André Øvredal,2016,12,3,6.8,R,"Horror, Mystery, Thriller",December,,"$5,983,416",Yes,99,,,,,,,
The Babadook,Jennifer Kent,2014,11,3,6.8,NR,"Drama, Horror",November,"$2,000,000","$10,312,540",No,94,,,,,,,
The Babysitter,McG,2017,8,2.5,6.3,TV-MA,"Comedy, Horror",October,,,Yes,85,,,,,,,
The Bay,Barry Levinson,2012,8,2.5,5.6,R,"Horror, Sci-Fi, Thriller",November,,"$1,581,252",No,84,,,,,,,
The Belko Experiment,Greg McLean,2016,8,2.5,6.1,R,"Horror, Thriller",March,"$5,000,000","$11,084,630",No,89,,,,,,,
The Blackcoat's Daughter,Osgood Perkins,2015,3,0.5,5.9,R,"Horror, Thriller",February,,"$38,348",No,89,,,,,,,
The Blair Witch Project,"Daniel Myrick, Eduardo Sánchez",1999,0,0,6.5,R,"Horror, Mystery",July,"$60,000","$248,639,099",No,81,,,,,,,
The Borderlands (Final Prayer),Elliot Goldner,2013,12,3,5.7,R,Horror,February,,,No,89,,,,,,,
The Boy,Craig Macneill,2015,1,0.5,5.4,R,"Drama, Horror, Thriller",March,,,No,89,,,,,,,
The Boy,William Brent Bell,2016,11,3,6,PG-13,"Horror, Mystery, Thriller",January,"$10,000,000","$74,136,180",Yes,97,,,,,,,
The Burning,Tony Maylam,1981,21,4,6.4,R,Horror,May,"$1,500,000",,No,91,,,,,,,
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1,7.6,R,"Drama, Sci-Fi, Thriller",January,"$13,000,000","$95,707,652",No,120,,,,,,,
The Bye Bye Man,Stacy Title,2017,13,3,4.3,PG-13,"Drama, Fantasy, Horror",January,"$7,400,000","$26,667,197",No,100,,,,,,,
